SUBJECT|CATALOG_NBR|SECTION|TITLE|START_TIME|END_TIME|MON|TUES|WED|THURS|FRI|SAT|SUN|START_DT|END_DT|BLDG|ROOM|1ST PRI INSTR NAME|CLASS_NBR|1ST PRI UNIQUE
PREACHNG|806|01|PREACHING WITH BARTH|02:30 PM|05:00 PM|N|N|Y|N|N|N|N|26-AUG-2013|26-NOV-2013|Divinity|012|Willimon,William|8536|0111768
NEUROSCI|494|07|RESEARCH INDEPENDENT STUDY 2|||N|N|N|N|N|N|N|26-AUG-2013|06-DEC-2013|||Staff,Departmental|2720|
BIOLOGY|702|01|SUCCEEDING BEYOND GRAD SCHOOL|12:00 PM|01:00 PM|N|N|Y|N|N|N|N|16-OCT-2013|20-NOV-2013|L.S.R.C.|A247|Noor,Mohamed A|2499|0330154
SES|209FS|01|GEOPOLITICS & CULTURE|01:25 PM|02:40 PM|N|N|Y|N|Y|N|N|26-AUG-2013|06-DEC-2013|Keohane|4D 201 SEM|Goknar,Erdag M|2839|0283919
WRITING|101|26|ACADEMIC WRITING|04:40 PM|05:55 PM|N|Y|N|Y|N|N|N|26-AUG-2013|06-DEC-2013|Art|102|Smith,Lindsey W|3227|0569312
